"date","value","var"
2014-05-04,291.677058158232,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-05,292.288737553747,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-06,292.709144673117,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-07,292.67420255793,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-08,292.700342540722,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-09,292.729054666395,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-10,293.470213990805,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-11,294.157620946409,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-12,295.088158886116,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-13,295.37475256066,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-14,295.514463638043,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-15,295.191857832796,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-16,293.732867058725,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-17,292.401928530431,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-18,292.349202736454,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-19,292.887691692443,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-20,293.500483498807,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-21,292.997069556751,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-22,293.640425952394,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-23,294.904078719443,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-24,294.517793652296,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-25,294.675552343369,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-26,295.191975324976,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-27,295.931150255027,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-28,296.636939154951,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-29,296.272594308342,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-30,295.716691468852,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-05-31,295.502165587645,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-01,296.037200366378,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-02,296.208781893795,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-03,296.266626486346,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-04,296.597605904426,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-05,297.025684454629,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-06,297.523956733235,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-07,297.425803926435,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-08,296.277562099949,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-09,296.467591593596,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-10,296.601427899331,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-11,296.874949561197,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-12,297.361829563422,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-13,297.575730269677,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-14,297.259227549615,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-15,297.662603765716,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-16,297.663524349239,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-17,297.62369571025,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-18,297.525229130777,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-19,297.617674608947,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-20,297.556737799237,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-21,297.44246954312,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-22,297.584489695314,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-23,297.921803580734,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-24,298.431671892376,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-25,299.462473909801,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-26,299.581023166224,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-27,299.218354733392,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-28,299.444180800692,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-29,299.178735647118,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-06-30,298.91498563839,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-01,298.767234874151,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-02,299.178545176568,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-03,299.447386064799,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-04,299.41861564728,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-05,299.368212440349,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-06,299.403834826767,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-07,299.133596975322,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-08,299.140339539149,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-09,299.159003871735,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-10,299.614715377813,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-11,300.066823018756,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-12,300.657038218362,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-13,300.822242678796,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-14,300.283027955887,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-15,300.077913608495,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-16,299.706381855377,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-17,299.314134587736,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-18,299.637179122097,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
2014-07-19,300.281923318738,"tasmax_day_BCSD_rcp45_r1i1p1_ACCESS1-0_2014"
